Product,Sales,Region,Profit
Phone,31845,North,6896
Mouse,25737,North,15964
Tablet,84569,East,13975
Laptop,53380,South,15177
Tablet,91502,South,14040
Mouse,4151,North,6548
Laptop,55443,North,10233
Laptop,2619,North,9422
Laptop,54985,East,11971
Laptop,85497,South,14493
Tablet,45987,North,3963
Laptop,19633,East,14829
Keyboard,21060,East,12660
Mouse,30218,West,17962
Phone,8800,North,3940
Monitor,33491,West,8406
Keyboard,85077,South,9242
Tablet,15662,South,15367
Phone,9377,East,5582
Mouse,66936,West,12375
Monitor,8490,East,11132
Mouse,18322,East,1948
Keyboard,27798,North,11023
Mouse,67536,East,15307
Keyboard,97675,East,12341
Keyboard,63147,East,2799
Phone,93775,West,3877
Monitor,93115,West,6443
Mouse,76747,North,13442
Keyboard,64136,East,14149
Keyboard,85846,South,16070
Keyboard,82433,West,4638
Keyboard,59976,North,8863
Phone,30013,North,17845
Laptop,85407,West,7104
Monitor,98330,East,5520
Laptop,63974,South,7143
Laptop,16047,East,5408
Keyboard,48618,West,17853
Tablet,67819,South,6045
Keyboard,88877,West,13189
Keyboard,33332,East,19871
Laptop,55042,West,10799
Mouse,40706,West,8420
Monitor,52283,North,16341
Phone,89057,West,6094
Keyboard,33072,West,4237
Tablet,92446,South,10138
Phone,96294,East,4854
Mouse,3164,East,4347
Monitor,54395,West,6498
Monitor,32019,South,10281
Tablet,70190,South,19839
Keyboard,38331,West,16818
Keyboard,49533,East,17688
Monitor,54847,South,903
Mouse,5811,North,4706
Mouse,61873,West,9531
Laptop,50933,North,10945
Phone,75509,South,12546
Keyboard,11810,West,4962
Mouse,25931,West,9801
Tablet,31556,West,7306
Monitor,56847,South,4208
Tablet,48121,North,15989
Tablet,80927,East,15831
Tablet,29136,South,2104
Monitor,34955,East,11550
Mouse,91927,South,17729
Mouse,61242,West,10018
Laptop,56087,West,18202
Tablet,45222,West,18958
Mouse,31467,North,19487
Laptop,61646,West,15760
Tablet,96433,South,17656
Monitor,20277,East,5025
Monitor,59257,North,4407
Laptop,59928,North,5413
Monitor,98613,West,11965
Keyboard,16518,South,10880
Tablet,57381,North,2006
Phone,88511,East,7765
Phone,88227,South,17824
Tablet,56520,North,457
Laptop,5293,East,18459
Laptop,82845,North,3867
Phone,74174,East,17777
Laptop,52426,North,14593
Phone,76885,West,11111
Mouse,31743,East,10328
Tablet,62838,North,7956
Laptop,67927,West,17614
Mouse,22577,West,6519
Keyboard,59479,West,15158
Phone,96665,North,13235
Mouse,28619,West,6104
Laptop,22513,West,14684
Tablet,1461,North,4303
Monitor,72987,North,10308
Laptop,98690,North,6398
Laptop,11661,North,5029
Mouse,13697,South,7142
Mouse,58192,North,1228
Keyboard,44358,North,8582
Phone,42273,East,19144
Laptop,15556,West,10653
Laptop,87923,South,19789
Phone,48139,North,15867
Phone,20946,East,6169
Phone,66520,East,4634
Laptop,21120,East,19741
Phone,50822,West,12778
Mouse,39133,North,13555
Phone,27691,East,12779
Mouse,19328,West,9932
Mouse,28156,North,7819
