ShowID,Title,Type,Genre,ReleaseYear,Rating,Duration,Country
1,Stranger Things,TV Show,Sci-Fi,2016,8.7,4 Seasons,USA
2,Money Heist,TV Show,Crime,2017,8.2,5 Seasons,Spain
3,Extraction,Movie,Action,2020,6.7,117 min,USA
4,Dark,TV Show,Sci-Fi,2017,8.8,3 Seasons,Germany
5,Wednesday,TV Show,Fantasy,2022,8.1,1 Season,USA
6,The Witcher,TV Show,Fantasy,2019,8.0,3 Seasons,Poland
7,RRR,Movie,Action,2022,8.8,182 min,India
8,Lucifer,TV Show,Fantasy,2016,8.1,6 Seasons,USA
9,All of Us Are Dead,TV Show,Horror,2022,7.5,1 Season,South Korea
10,3 Idiots,Movie,Comedy,2009,8.4,170 min,India
